parameter,value
A,0.009801272011120013
d,4.306370319164342
d_std,0.12967568513138417
a_used,0.6891542220910709
b_used,0.1003896357612643
c_used,-0.0040467005459244
x0_used,0.7889732573569058
logFo_min,-34.21102674264309
logFo_max,35.78897325735691
DELTA_LOG_FO,35.0
LoadD_max,0.7
