parameter,value
A,0.012706332721173967
d,3.8195428200823303
d_std,0.16138002640505608
a_used,0.6705210479141401
b_used,0.0898531252312519
c_used,-0.0035554899773555
x0_used,0.769067496991797
logFo_min,-34.230932503008205
logFo_max,35.769067496991795
DELTA_LOG_FO,35.0
LoadD_max,0.7
