Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken,Hygro_weighted,Plastic_like,Total_strain_norm,Slip_strain_norm
1.4064724,0.043743026,6.32,2707.0,0.053508215,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4064724,0.32619408,0.010145037
1.4071475,0.043752924,6.36,2709.0,0.054173306,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4071475,0.32635066,0.010147333
1.4078677,0.04382335,6.4,2711.0,0.05482306,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4078677,0.32651767,0.010163667
1.4085026,0.04382335,6.44,2711.0,0.055458043,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4085026,0.32666492,0.010163667
1.4091586,0.043858588,6.48,2712.0,0.056078795,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4091586,0.32681707,0.010171839
1.409853,0.043945923,6.52,2715.0,0.056685846,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.409853,0.32697812,0.010192094
1.4105175,0.044016466,6.56,2717.0,0.057279695,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4105175,0.32713223,0.010208455
1.4111614,0.04407931,6.6,2720.0,0.057860825,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4111614,0.32728156,0.01022303
1.4117824,0.04413147,6.64,2722.0,0.0584297,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4117824,0.32742557,0.010235127
1.4124101,0.044202127,6.68,2724.0,0.058986768,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4124101,0.32757118,0.010251514
1.4129803,0.044226665,6.72,2726.0,0.05953246,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4129803,0.32770342,0.010257205
1.413575,0.04428662,6.76,2730.0,0.060067184,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.413575,0.32784134,0.01027111
1.4141868,0.04437424,6.8,2733.0,0.060591336,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4141868,0.32798323,0.010291431
1.4147531,0.04442651,6.84,2735.0,0.0611053,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4147531,0.32811457,0.010303553
1.4152572,0.04442651,6.88,2735.0,0.061609436,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4152572,0.32823148,0.010303553
1.4157957,0.044470347,6.92,2738.0,0.062104102,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4157957,0.32835636,0.01031372
