Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken,Hygro_weighted,Plastic_like,Total_strain_norm,Slip_strain_norm
1.5982279,0.064391255,6.32,3498.0,0.22454983,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5982279,0.37066668,0.014933849
1.5997897,0.06449026,6.36,3503.0,0.22601272,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5997897,0.3710289,0.01495681
1.6015604,0.06485542,6.4,3514.0,0.22741823,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.6015604,0.37143958,0.015041499
1.6031932,0.06513779,6.44,3523.0,0.22876863,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.6031932,0.37181824,0.015106987
1.6046511,0.06529828,6.48,3527.0,0.23006606,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.6046511,0.37215638,0.015144209
1.6061509,0.06555154,6.52,3536.0,0.23131263,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.6061509,0.3725042,0.015202946
1.6074674,0.065670304,6.56,3540.0,0.23251031,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.6074674,0.37280956,0.01523049
1.6087052,0.06575744,6.6,3543.0,0.23366103,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.6087052,0.37309662,0.015250699
1.6101053,0.06605191,6.64,3553.0,0.23476662,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.6101053,0.37342134,0.015318993
1.6113268,0.06621124,6.68,3558.0,0.23582886,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.6113268,0.37370464,0.015355946
1.6125312,0.066395015,6.72,3565.0,0.23684946,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.6125312,0.37398395,0.015398568
1.6136143,0.066497564,6.76,3569.0,0.23783003,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.6136143,0.37423515,0.015422351
1.6147021,0.06664323,6.8,3574.0,0.23877215,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.6147021,0.37448743,0.015456134
1.6157496,0.066785485,6.84,3579.0,0.23967734,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.6157496,0.37473038,0.015489127
1.6166385,0.06680478,6.88,3580.0,0.24054703,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.6166385,0.37493655,0.0154936025
1.6176059,0.066936575,6.92,3585.0,0.24138263,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.6176059,0.3751609,0.0155241685
1.618488,0.0670157,6.96,3588.0,0.24218544,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.618488,0.37536547,0.015542519
1.6193802,0.067098044,7.0,3593.0,0.24296267,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6193802,0.3755724,0.015561616
1.6202055,0.067182146,7.04,3596.0,0.24370387,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6202055,0.3757638,0.015581122
1.621018,0.06728257,7.08,3599.0,0.24441594,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.621018,0.37595227,0.015604413
1.621762,0.0673425,7.12,3601.0,0.2451001,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.621762,0.3761248,0.015618311
1.6225517,0.06747471,7.16,3606.0,0.24575742,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6225517,0.37630793,0.015648974
1.6232462,0.06753775,7.2,3609.0,0.24638897,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6232462,0.37646902,0.015663594
1.623941,0.0676257,7.24,3612.0,0.24699575,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.623941,0.37663016,0.015683992
1.6246649,0.06776668,7.28,3617.0,0.24757874,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6246649,0.37679806,0.015716689
1.6253076,0.067849204,7.32,3621.0,0.24813887,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6253076,0.3769471,0.015735827
1.6260084,0.06801188,7.36,3625.0,0.24867705,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6260084,0.37710965,0.015773557
1.6266068,0.06809325,7.4,3627.0,0.2491941,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6266068,0.37724844,0.015792428
1.6271037,0.06809325,7.44,3627.0,0.24969089,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6271037,0.37736365,0.015792428
1.6276712,0.068183504,7.48,3630.0,0.2501682,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6276712,0.3774953,0.01581336
1.6281421,0.06819587,7.52,3631.0,0.2506268,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6281421,0.3776045,0.015816228
1.6285939,0.068206966,7.56,3633.0,0.2510674,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6285939,0.37770927,0.0158188
1.6290172,0.068206966,7.6,3633.0,0.25149074,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6290172,0.37780747,0.0158188
1.6294434,0.06822642,7.64,3634.0,0.25189748,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6294434,0.3779063,0.015823314
1.6299012,0.06829339,7.68,3637.0,0.25228828,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6299012,0.37801248,0.015838847
1.6303228,0.06833952,7.72,3639.0,0.25266373,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6303228,0.37811026,0.015849544
1.6306835,0.06833952,7.76,3639.0,0.2530245,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6306835,0.3781939,0.015849544
1.6311117,0.068421125,7.8,3641.0,0.2533711,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6311117,0.37829322,0.01586847
1.6314856,0.06846193,7.84,3642.0,0.2537041,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6314856,0.37837994,0.015877934
1.631896,0.068552434,7.88,3645.0,0.25402403,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.631896,0.37847513,0.015898924
1.632285,0.068634085,7.92,3647.0,0.25433144,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.632285,0.37856534,0.01591786
1.6326816,0.068735264,7.96,3650.0,0.2546268,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6326816,0.3786573,0.015941326
1.6330256,0.068795614,8.0,3652.0,0.25491056,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6330256,0.3787371,0.015955323
1.633349,0.06884617,8.04,3656.0,0.25518322,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.633349,0.37881207,0.015967049
1.6336926,0.068927914,8.08,3658.0,0.25544515,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6336926,0.3788918,0.015986007
1.634026,0.06900966,8.12,3660.0,0.25569686,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.634026,0.37896913,0.016004967
1.6342767,0.069018535,8.16,3661.0,0.25593865,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6342767,0.37902728,0.016007023
1.63455,0.069059424,8.2,3662.0,0.256171,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.63455,0.37909064,0.016016508
1.6347731,0.069059424,8.24,3662.0,0.2563942,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6347731,0.37914237,0.016016508
1.6349876,0.069059424,8.28,3662.0,0.2566087,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6349876,0.3791921,0.016016508
1.6352434,0.06910921,8.32,3664.0,0.25681475,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6352434,0.37925145,0.016028052
1.6354414,0.06910921,8.36,3664.0,0.25701272,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6354414,0.37929738,0.016028052
1.6356317,0.06910921,8.4,3664.0,0.25720295,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6356317,0.3793415,0.016028052
1.6358144,0.06910921,8.44,3664.0,0.2573857,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6358144,0.3793839,0.016028052
1.63599,0.06910921,8.48,3664.0,0.2575613,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.63599,0.3794246,0.016028052
1.6361996,0.06915014,8.52,3665.0,0.25773,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6361996,0.3794732,0.016037546
1.6364436,0.06923201,8.56,3667.0,0.2578921,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6364436,0.3795298,0.016056534
1.6365993,0.06923201,8.6,3667.0,0.25804782,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6365993,0.37956592,0.016056534
1.6368309,0.069313906,8.64,3669.0,0.25819746,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6368309,0.37961963,0.016075527
1.6369747,0.069313906,8.68,3669.0,0.25834122,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6369747,0.37965298,0.016075527
