,Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken,Hygro_weighted,Plastic_like
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0,0.0,0.0
1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0,0.0,0.0
2,1.348088416121952,0.038899922445288664,5.0,2500.0,0.0,1.3091884936766638,0.0,39976.0,1.3084029805804571,0.0,0,0.0,1.348088416121952
3,1.348088416121952,0.038899922445288664,5.0,2500.0,0.0,1.3091884936766638,0.0,39976.0,1.3084029805804571,0.0,0,0.0,1.348088416121952
4,1.4358404756725047,0.04635945510813644,5.04,2811.0,0.0802270248867207,1.3092539956776472,0.0,39974.0,1.3084029805804571,0.0,0,0.0,1.4358404756725047
5,1.4599636733809525,0.049127279541976425,5.08,2925.0,0.1015496447028519,1.309286749136124,0.0,39973.0,1.3084029805804571,0.0,0,0.0,1.4599636733809525
6,1.4774412227943619,0.05119422081942319,5.12,3005.0,0.11696025283881474,1.3092867491361244,0.0,39973.0,1.3084029805804571,0.0,0,0.0,1.4774412227943619
7,1.4904245686056237,0.05238671522759486,5.16,3052.0,0.12875110424190472,1.309286749136124,0.0,39973.0,1.3084029805804571,0.0,0,0.0,1.4904245686056237
8,1.5006087738044707,0.05325665884453145,5.2,3089.0,0.13806536582381512,1.309286749136124,0.0,39973.0,1.3084029805804571,0.0,0,0.0,1.5006087738044707
9,1.5091738791763194,0.05422279189937035,5.24,3125.0,0.14566433814082494,1.3092867491361242,0.0,39973.0,1.3084029805804571,0.0,0,0.0,1.5091738791763194
10,1.5166331882856787,0.055286066504536414,5.28,3159.0,0.1520603726450181,1.309286749136124,0.0,39973.0,1.3084029805804571,0.0,0,0.0,1.5166331882856787
11,1.5231021147252057,0.056216375288151176,5.32,3196.0,0.1575989903009304,1.309286749136124,0.0,39973.0,1.3084029805804571,0.0,0,0.0,1.5231021147252057
12,1.5285901649117701,0.05678961285173611,5.36,3218.0,0.16251380292391007,1.3092867491361244,0.0,39973.0,1.3084029805804571,0.0,0,0.0,1.5285901649117701
13,1.5333323874574984,0.057082309403047836,5.4,3231.0,0.16696332891832666,1.3092867491361238,0.0,39973.0,1.3084029805804571,0.0,0,0.0,1.5333323874574984
14,1.5376934639595845,0.05735104018304817,5.44,3240.0,0.17105567464041233,1.309286749136124,0.0,39973.0,1.3084029805804571,0.0,0,0.0,1.5376934639595845
15,1.5418704605540126,0.05771862965047439,5.48,3255.0,0.1748650817674139,1.3092867491361242,0.0,39973.0,1.3084029805804571,0.0,0,0.0,1.5418704605540126
