Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken,Hygro_weighted,Plastic_like,Total_strain_norm,Slip_strain_norm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1.3480884,0.03889992,5.0,2500.0,0.0,1.3091885,0.0,39976.0,1.308403,0.0,0,0.0,1.3480884,0.31265345,0.009021807
1.3480884,0.03889992,5.0,2500.0,0.0,1.3091885,0.0,39976.0,1.308403,0.0,0,0.0,1.3480884,0.31265345,0.009021807
1.5333322,0.05708231,5.04,3231.0,0.16696313,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5333322,0.35561585,0.013238732
1.569498,0.061129324,5.08,3382.0,0.19908184,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.569498,0.36400354,0.01417733
1.5926183,0.063538715,5.12,3469.0,0.21979293,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.5926183,0.3693657,0.014736124
1.6087052,0.06575744,5.16,3543.0,0.23366101,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.6087052,0.37309662,0.015250699
1.6193802,0.067098044,5.2,3593.0,0.24296269,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6193802,0.3755724,0.015561616
1.6266068,0.06809325,5.24,3627.0,0.2491941,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6266068,0.37724844,0.015792428
1.6311117,0.068421125,5.28,3641.0,0.2533711,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6311117,0.37829322,0.01586847
1.63455,0.069059424,5.32,3662.0,0.256171,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.63455,0.37909064,0.016016508
1.6365993,0.06923201,5.36,3667.0,0.25804782,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6365993,0.37956592,0.016056534
1.637996,0.06937054,5.4,3672.0,0.25930592,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.637996,0.37988985,0.01608866
1.6389533,0.06948455,5.44,3676.0,0.26014924,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6389533,0.38011187,0.016115103
1.6395426,0.06950851,5.48,3678.0,0.26071453,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6395426,0.38024855,0.01612066
1.6399245,0.069511585,5.52,3679.0,0.26109344,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6399245,0.38033712,0.016121374
1.6402733,0.06960639,5.56,3684.0,0.26134744,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6402733,0.380418,0.016143361
1.6404436,0.06960639,5.6,3684.0,0.2615177,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6404436,0.3804575,0.016143361
1.6405578,0.06960639,5.64,3684.0,0.26163185,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6405578,0.38048398,0.016143361
1.6406753,0.06964744,5.68,3685.0,0.26170835,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6406753,0.38051125,0.016152881
1.6407266,0.06964744,5.72,3685.0,0.26175964,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6407266,0.38052312,0.016152881
1.6407609,0.06964744,5.76,3685.0,0.261794,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6407609,0.3805311,0.016152881
1.640784,0.06964744,5.8,3685.0,0.26181704,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.640784,0.38053647,0.016152881
1.6407994,0.06964744,5.84,3685.0,0.2618325,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6407994,0.38054,0.016152881
1.6408098,0.06964744,5.88,3685.0,0.26184285,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6408098,0.38054243,0.016152881
1.6408167,0.06964744,5.92,3685.0,0.2618498,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6408167,0.38054404,0.016152881
1.6408213,0.06964744,5.96,3685.0,0.26185444,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6408213,0.3805451,0.016152881
1.6408246,0.06964744,6.0,3685.0,0.26185757,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6408246,0.38054585,0.016152881
1.6408266,0.06964744,6.04,3685.0,0.26185966,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.6408266,0.38054633,0.016152881
1.640828,0.06964744,6.08,3685.0,0.26186106,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.640828,0.38054666,0.016152881
1.640829,0.06964744,6.12,3685.0,0.26186198,1.3093195,0.0,39972.0,1.308403,0.0,0,0.0,1.640829,0.38054687,0.016152881
