slip_final,slip_max,tot_mech_max,ratio_slip_over_tot,elastic_max,n_fib,damage,broken,moist_max,failure_limit,load_d,load_d_max,frozen_moisture_step,moist_step_human
0.0007341777087273914,0.0029734170688806077,0.567968017730866,0.0012926391729952732,0.5672931955559805,39985,0.0003750000000000142,0,0.020392499999999997,0.3,0.3,0.3,0,1
0.0021172332018402555,0.006886500223225129,0.6518780404504878,0.003247897720833052,0.6574819047176815,39971,0.0007249999999999757,0,0.5735598170197198,0.3,0.3,0.3,10,11
0.002873721080186781,0.010020621152999508,0.7013925928517913,0.004097164853855273,0.6953315708003036,39967,0.0008249999999999647,0,0.7794836428437901,0.3,0.3,0.3,20,21
0.003552624229154221,0.012753275373352987,0.7369314013336903,0.004820834371726759,0.724448658756659,39962,0.0009500000000000064,0,0.9435651189194838,0.3,0.3,0.3,30,31
0.0037612656641953946,0.013897320143459662,0.7468975223034052,0.005035852378510757,0.7330991291922455,39961,0.0009749999999999481,0,0.9939877812296163,0.3,0.3,0.3,40,41
0.0038212563817951587,0.014066571925860565,0.7480012818662618,0.005108622771689817,0.7340310981107002,39961,0.0009749999999999481,0,0.9994842408621025,0.3,0.3,0.3,50,51
0.0038295513096159666,0.014086261995480123,0.7481010664287646,0.005119029341713447,0.7341111508298156,39960,0.0010000000000000009,0,0.9999567208991419,0.3,0.3,0.3,60,61
0.0038295359232150346,0.01408606878058413,0.7481075938747836,0.00511896410966791,0.734117869053953,39960,0.0010000000000000009,0,0.999996375135997,0.3,0.3,0.3,70,71
0.0038295346344964197,0.01408605259753194,0.7481081405805552,0.005118958646171905,0.7341184317474888,39960,0.0010000000000000009,0,0.9999996964455812,0.3,0.3,0.3,80,81
0.003829534526576007,0.014086051242324333,0.7481081863629245,0.0051189581886465435,0.7341184788687733,39960,0.0010000000000000009,0,0.9999999745800087,0.3,0.3,0.3,90,91
0.0038295345177711115,0.01408605113175709,0.7481081900981673,0.005118958151318457,0.7341184827132546,39960,0.0010000000000000009,0,0.9999999972721453,0.3,0.3,0.3,99,100
