slip_final,slip_max,tot_mech_max,ratio_slip_over_tot,elastic_max,n_fib,damage,broken,moist_max,failure_limit,load_d,load_d_max,frozen_moisture_step,moist_step_human
-0.00015554094503797706,0.0,-0.0023854844558212525,0.06520308470609122,1.0709096939219868e-18,39999,2.5000000000052758e-05,0,0.020392499999999997,0.3,0.0,0.65,0,1
-0.0001472800616406424,0.0,0.09224635265697861,-0.0015965949590257362,0.09453699081373243,39999,2.5000000000052758e-05,0,0.020392499999999997,0.3,0.05,0.65,0,1
-0.0001196068076859599,9.668946274301267e-05,0.18690471262453995,-0.0006399346811882149,0.1890739816274649,39995,0.00012500000000004174,0,0.020392499999999997,0.3,0.1,0.65,0,1
-3.458055446312212e-05,0.00035923711050733624,0.28169878263263615,-0.00012275720235617305,0.28361809679262484,39994,0.00014999999999998348,0,0.020392499999999997,0.3,0.15000000000000002,0.65,0,1
0.000131684981981509,0.0008781026079590405,0.3767584252141872,0.00034952100117375233,0.3781859626595288,39989,0.0002750000000000252,0,0.020392499999999997,0.3,0.2,0.65,0,1
0.0004068502206516843,0.0017846957082835867,0.47222720172971727,0.0008615560881741583,0.4727443296299839,39987,0.0003250000000000197,0,0.020392499999999997,0.3,0.25,0.65,0,1
0.0007341777087273914,0.0029734170688806077,0.5679680177308661,0.001292639172995273,0.5672931955559809,39985,0.0003750000000000142,0,0.020392499999999997,0.3,0.30000000000000004,0.65,0,1
0.001201118338981314,0.004674615329776,0.6642260430139663,0.0018082975691997355,0.6618586891452215,39976,0.0006000000000000449,0,0.020392499999999997,0.3,0.35000000000000003,0.65,0,1
0.0019210862570533645,0.007241237583959806,0.7613521904046846,0.0025232557038185467,0.7564859521758581,39972,0.0007000000000000339,0,0.020392499999999997,0.3,0.4,0.65,0,1
0.0029316944340457146,0.010873663681691476,0.8595561130108342,0.00341070744500512,0.8510894648646323,39970,0.0007500000000000284,0,0.020392499999999997,0.3,0.45,0.65,0,1
0.004071489128526568,0.015050409259017825,0.9582811142003245,0.004248741906934254,0.9456787231222754,39965,0.0008749999999999591,0,0.020392499999999997,0.3,0.5,0.65,0,1
0.0055391181654752064,0.020219808586872813,1.0580365403833487,0.0052352805919805645,1.0402465954345028,39956,0.0010999999999999899,0,0.020392499999999997,0.3,0.55,0.65,0,1
0.0072674418580341345,0.02667965093772928,1.1590575201494495,0.006270130456594653,1.1348715012337622,39946,0.0013499999999999623,0,0.020392499999999997,0.3,0.6000000000000001,0.65,0,1
0.008990780202469547,0.033187099795134435,1.2601362449149356,0.007134768354414297,1.2295986192050052,39938,0.0015500000000000513,0,0.020392499999999997,0.3,0.65,0.65,0,1
