load_d,moisture_frac,D_imposed,J_target,J_eff,KV_fixed,lambda_weibull,rss,J1,J2,J3,J4,tau1,tau2,tau3,tau4
0.2,0.0,1.0,0.2,0.20192501136894556,4,7.0,1.1847288560470645e-07,0.013407524964152961,0.026970140876440188,0.053912240982877724,0.10763510454547467,0.1,1.0,10.0,100.0
0.2,0.07142857142857142,1.0214285714285714,0.2142857142857143,0.2163713615249557,4,6.85,1.5142851797462278e-07,0.01375957764394731,0.02985627612492318,0.05726739186312419,0.11548811589296101,0.1,1.0,10.0,100.0
0.2,0.14285714285714285,1.042857142857143,0.2285714285714286,0.2307889870397643,4,6.7,4.926431929920052e-08,0.015583026484595875,0.03052372813136859,0.061490182160590365,0.12319205026320948,0.1,1.0,10.0,100.0
0.2,0.21428571428571427,1.0642857142857143,0.24285714285714285,0.24529141824213568,4,6.55,1.1353908414610726e-07,0.016596208826629447,0.03223208596979541,0.06556533377754696,0.13089778966816387,0.1,1.0,10.0,100.0
0.2,0.2857142857142857,1.0857142857142859,0.2571428571428572,0.26002857522018485,4,6.3999999999999995,2.351173102961735e-07,0.016996349385675076,0.0349949967036045,0.06911245702104,0.13892477210986529,0.1,1.0,10.0,100.0
0.2,0.3571428571428571,1.1071428571428572,0.27142857142857146,0.27487346216442243,4,6.25,6.874064050227117e-08,0.01807450188902252,0.036974101490525255,0.07287116540957422,0.14695369337530045,0.1,1.0,10.0,100.0
0.2,0.42857142857142855,1.1285714285714286,0.2857142857142857,0.28955125535354154,4,6.1,3.814525283215596e-07,0.01984561484825701,0.03768057380212306,0.07745124903117855,0.15457381767198294,0.1,1.0,10.0,100.0
0.2,0.5,1.15,0.30000000000000004,0.3044542796953157,4,5.949999999999999,2.084794230044696e-07,0.020210020626580213,0.040387548024883334,0.0811449830773243,0.1627117279665278,0.1,1.0,10.0,100.0
0.2,0.5714285714285714,1.1714285714285715,0.3142857142857143,0.3196931247094027,4,5.799999999999999,5.750573290256621e-07,0.02019872929158065,0.04394416569962203,0.0842067227236855,0.1713435069945145,0.1,1.0,10.0,100.0
0.2,0.6428571428571428,1.1928571428571428,0.32857142857142857,0.33450738719378753,4,5.65,4.953639783515656e-07,0.022680395923561966,0.04392166685579829,0.08915751137814953,0.17874781303627774,0.1,1.0,10.0,100.0
0.2,0.7142857142857142,1.2142857142857144,0.34285714285714286,0.350240362509197,4,5.5,1.6610684128428262e-06,0.0215433873379578,0.0488379638732505,0.0916051147283448,0.18825389656964392,0.1,1.0,10.0,100.0
0.2,0.7857142857142857,1.2357142857142858,0.35714285714285715,0.3666370404592688,4,5.35,4.746135706413953e-07,0.022692916535390094,0.050825520906439374,0.09530023294747658,0.19781837006996275,0.1,1.0,10.0,100.0
0.2,0.8571428571428571,1.2571428571428571,0.37142857142857144,0.3824895370814207,4,5.199999999999999,9.61093599311613e-07,0.027152182810380582,0.04764571539186342,0.10238028739360687,0.20531135148556984,0.1,1.0,10.0,100.0
0.2,0.9285714285714285,1.2785714285714285,0.38571428571428573,0.39863687569798684,4,5.05,5.7147932255419e-07,0.026003212832991354,0.05222545006556985,0.10657790154085646,0.21383031125856916,0.1,1.0,10.0,100.0
0.2,1.0,1.3,0.4,0.4150934467438618,4,4.8999999999999995,1.0478489881806482e-06,0.026106849955671196,0.05667441052403063,0.10998093717784439,0.22233124908631557,0.1,1.0,10.0,100.0
