load_d,moisture_frac,run_tag,D_imposed,J_target,lambda_weibull,KV,rss,J_eff,J1,J2,J3,J4,tau1,tau2,tau3,tau4
0.5,0.0,m0.000,1.0,0.2,7.0,4,2.021545493699206e-06,0.21219516022105325,0.01468797077915017,0.02686544945812528,0.05633732017320367,0.11430441981057413,0.1,1.0,10.0,100.0
0.5,0.07142857142857142,m0.071,1.0214285714285714,0.2142857142857143,6.85,4,1.28371081419691e-05,0.22814388355822462,0.014857631595246848,0.030130034267259735,0.061335908971695205,0.12182030872402282,0.1,1.0,10.0,100.0
0.5,0.14285714285714285,m0.143,1.042857142857143,0.2285714285714286,6.7,4,7.3702759183305416e-06,0.24470116496222627,0.015286939474778147,0.03421238811792078,0.06406719942499839,0.13113463794452895,0.1,1.0,10.0,100.0
0.5,0.21428571428571427,m0.214,1.0642857142857143,0.24285714285714285,6.55,4,4.134454294339559e-06,0.2609646721874495,0.0172294256793624,0.034891257813093095,0.06847768550850271,0.14036630318649132,0.1,1.0,10.0,100.0
0.5,0.2857142857142857,m0.286,1.0857142857142859,0.2571428571428572,6.3999999999999995,4,3.3231174102558233e-06,0.27774156858248045,0.017286793354995243,0.037745183411586586,0.07275508067192563,0.14995451114397296,0.1,1.0,10.0,100.0
0.5,0.3571428571428571,m0.357,1.1071428571428572,0.27142857142857146,6.25,4,1.1719973635978221e-05,0.2966553050389266,0.018270676890529455,0.04059899563628899,0.07658748526728748,0.16119814724482068,0.1,1.0,10.0,100.0
0.5,0.42857142857142855,m0.429,1.1285714285714286,0.2857142857142857,6.1,4,7.524130707103848e-06,0.3155975937118189,0.021288154604774033,0.03991015065102586,0.08306228110613435,0.17133700734988466,0.1,1.0,10.0,100.0
0.5,0.5,m0.500,1.15,0.30000000000000004,5.949999999999999,4,6.175026516757379e-06,0.33511571730370093,0.020945508547694835,0.04409432375720274,0.08827438267277371,0.18180150232602965,0.1,1.0,10.0,100.0
0.5,0.5714285714285714,m0.571,1.1714285714285715,0.3142857142857143,5.799999999999999,4,4.748779321204159e-05,0.356672464967256,0.019660906908509627,0.051509039969546505,0.09018629011221335,0.19531622797698656,0.1,1.0,10.0,100.0
0.5,0.6428571428571428,m0.643,1.1928571428571428,0.32857142857142857,5.65,4,4.8112425406790045e-05,0.37835364808215166,0.0224649233617044,0.05241781445869596,0.09576115038782008,0.2077097598739312,0.1,1.0,10.0,100.0
0.5,0.7142857142857142,m0.714,1.2142857142857144,0.34285714285714286,5.5,4,8.911566415024404e-05,0.400814261916924,0.02282362181388224,0.05592562948767271,0.1010623473531573,0.22100266326221174,0.1,1.0,10.0,100.0
0.5,0.7857142857142857,m0.786,1.2357142857142858,0.35714285714285715,5.35,4,4.5301063382823464e-05,0.42591885458633744,0.021408841989108723,0.0625030165617313,0.10547444500110394,0.23653255103439347,0.1,1.0,10.0,100.0
0.5,0.8571428571428571,m0.857,1.2571428571428571,0.37142857142857144,5.199999999999999,4,5.589137534306694e-05,0.4503218976955997,0.029474736975416332,0.05640195957566385,0.11647187836509948,0.24797332277942005,0.1,1.0,10.0,100.0
0.5,0.9285714285714285,m0.929,1.2785714285714285,0.38571428571428573,5.05,4,0.00016821952356021143,0.47777731511184524,0.024257814136583303,0.0689316539269291,0.11871615580696435,0.2658716912413685,0.1,1.0,10.0,100.0
0.5,1.0,m1.000,1.3,0.4,4.8999999999999995,4,0.00021251705610603918,0.5073345077672602,0.02366945755043023,0.07661433525910506,0.1234630248274384,0.28358769013028645,0.1,1.0,10.0,100.0
