Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken,Hygro_weighted,Plastic_like,Total_strain_norm,Slip_strain_norm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1.3480884,0.03889992,5.0,2500.0,0.0,1.3091885,0.0,39976.0,1.308403,0.0,0,0.0,1.3480884,0.31265345,0.009021807
1.3480884,0.03889992,5.0,2500.0,0.0,1.3091885,0.0,39976.0,1.308403,0.0,0,0.0,1.3480884,0.31265345,0.009021807
1.3828253,0.041662183,5.04,2620.0,0.03194188,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3828253,0.32070974,0.009662441
1.3952085,0.04283027,5.08,2667.0,0.043156914,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.3952085,0.3235817,0.009933348
1.4041226,0.043486476,5.12,2697.0,0.05141486,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4041226,0.32564908,0.010085538
1.4111614,0.04407931,5.16,2720.0,0.05786082,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4111614,0.32728156,0.01022303
1.41681,0.044522382,5.2,2741.0,0.063066356,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.41681,0.32859161,0.0103257885
1.4217113,0.04507803,5.24,2760.0,0.06741209,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4217113,0.32972834,0.0104546575
1.4257697,0.04539422,5.28,2777.0,0.071154214,1.3092213,0.0,39975.0,1.308403,0.0,0,0.0,1.4257697,0.33066955,0.010527989
1.4292924,0.045571104,5.32,2786.0,0.07446729,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4292924,0.33148658,0.010569012
1.4327209,0.046002295,5.36,2800.0,0.077464595,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4327209,0.3322817,0.010669015
1.4358405,0.046359453,5.4,2811.0,0.0802271,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4358405,0.33300522,0.010751849
1.438772,0.046709076,5.44,2826.0,0.08280886,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.438772,0.3336851,0.010832935
1.4417189,0.047217935,5.48,2847.0,0.08524702,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4417189,0.3343686,0.010950951
1.4442754,0.047454085,5.52,2855.0,0.08756732,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4442754,0.33496147,0.01100572
1.4468461,0.047804326,5.56,2868.0,0.08978783,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4468461,0.3355577,0.011086949
1.4492583,0.048082907,5.6,2879.0,0.09192148,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4492583,0.33611715,0.011151559
1.4516225,0.048390817,5.64,2892.0,0.09397767,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4516225,0.33666545,0.01122297
1.4537259,0.048508566,5.68,2897.0,0.095963426,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4537259,0.3371533,0.011250279
1.4558539,0.048715726,5.72,2906.0,0.09788419,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4558539,0.3376468,0.011298324
1.4580207,0.049022447,5.76,2918.0,0.09974426,1.309254,0.0,39974.0,1.308403,0.0,0,0.0,1.4580207,0.33814934,0.01136946
1.4599637,0.04912728,5.8,2925.0,0.101549625,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.4599637,0.33859995,0.011393773
1.4619205,0.04933531,5.84,2934.0,0.10329844,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.4619205,0.33905378,0.01144202
1.4638134,0.049530957,5.88,2943.0,0.10499566,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.4638134,0.3394928,0.0114873955
1.4656343,0.049703915,5.92,2952.0,0.10664364,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.4656343,0.33991513,0.0115275085
1.4674964,0.049965166,5.96,2961.0,0.108244464,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.4674964,0.34034696,0.0115880985
1.4693322,0.05024534,6.0,2972.0,0.1098001,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.4693322,0.34077275,0.011653078
1.471009,0.05040998,6.04,2977.0,0.111312345,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.471009,0.34116164,0.011691261
1.4726924,0.050622772,6.08,2984.0,0.11278291,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.4726924,0.34155205,0.011740613
1.4743679,0.050867647,6.12,2992.0,0.1142134,1.3092867,0.0,39973.0,1.308403,0.0,0,0.0,1.4743679,0.34194064,0.011797405
