cycles_loaded,min_mech_after_unload
1,0.007293890192885094
2,0.027513193594273427
3,0.029705583416979736
4,0.029815715874080467
5,0.02983458209214293
6,0.0298413344075954
7,0.029841334611204307
8,0.029835407794538776
9,0.029835407794538776
10,0.029835407794538776
11,0.029835407794538776
12,0.029835407794538776
13,0.029835407794538776
14,0.029835407794538776
15,0.029835407794538776
16,0.029835407794538776
17,0.029835407794538776
18,0.029835407794538776
