,Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken,Hygro_weighted,Plastic_like
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0,0.0,0.0
1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0,0.0,0.0
2,0.0,0.0,5.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0,0.0,0.0
3,1.3575460070227214,0.03953487658070934,5.0,2528.0,0.0,1.3180111304420123,0.0,39976.0,1.317220323763747,0.0,0,0.0,1.3575460070227214
4,1.3575460070227214,0.03953487658070934,5.0,2528.0,0.0,1.3180111304420123,0.0,39976.0,1.317220323763747,0.0,0,0.0,1.3575460070227214
5,1.4465766683664911,0.047731947083957324,5.04,2866.0,0.016153529484155313,1.3180770738617573,0.0,39974.0,1.317220323763747,0.0,0,0.0,1.4465766683664911
6,1.4707539923571666,0.0504099819734491,5.08,2977.0,0.020446792467507913,1.3181100480461778,0.0,39973.0,1.317220323763747,0.0,0,0.0,1.4707539923571666
7,1.4879857521477995,0.05212726700822417,5.12,3042.0,0.023549687418679424,1.3181100480461778,0.0,39973.0,1.317220323763747,0.0,0,0.0,1.4879857521477995
8,1.5010752813273927,0.053346483042884175,5.16,3093.0,0.025923750047666023,1.3181100480461787,0.0,39973.0,1.317220323763747,0.0,0,0.0,1.5010752813273927
9,1.5118516547683694,0.05474582397346437,5.2,3142.0,0.027799156549745383,1.318110048046178,0.0,39973.0,1.317220323763747,0.0,0,0.0,1.5118516547683694
10,1.5206630073806413,0.05590699331837336,5.24,3183.0,0.02932919320321797,1.3181100480461778,0.0,39973.0,1.317220323763747,0.0,0,0.0,1.5206630073806413
11,1.5279436637306727,0.05674851124408789,5.28,3216.0,0.03061702088808133,1.3181100480461778,0.0,39973.0,1.317220323763747,0.0,0,0.0,1.5279436637306727
12,1.533861731755479,0.05709063611688673,5.32,3232.0,0.03173220951848282,1.3181100480461783,0.0,39973.0,1.317220323763747,0.0,0,0.0,1.533861731755479
13,1.5391449123480865,0.0574258826102395,5.36,3245.0,0.03272179633833377,1.3181100480461785,0.0,39973.0,1.317220323763747,0.0,0,0.0,1.5391449123480865
14,1.5442505777962656,0.05805203628880644,5.4,3267.0,0.03361769869225619,1.3181100480461785,0.0,39973.0,1.317220323763747,0.0,0,0.0,1.5442505777962656
15,1.5490815615774536,0.05876309570260808,5.44,3293.0,0.03444168356573347,1.3181100480461783,0.0,39973.0,1.317220323763747,0.0,0,0.0,1.5490815615774536
