time_h,time_fbm,moisture_sim,moisture_phys,load,strain_total,strain_elastic,strain_viscoelastic,strain_hygro,strain_mechanosorption
0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
0.5,5.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
0.5,5.0,0.0,0.08,2.0,0.004027178495263602,0.004027178495263602,0.0,0.0,0.0
0.5,5.0,0.0,0.08,2.0,0.004027178495263602,0.004027178495263602,0.0,0.0,0.0
0.5008,5.008,0.0,0.08,2.0,0.004031749345920144,0.004027178495263602,4.570850656542783e-06,0.0,0.0
0.5016,5.016,0.0,0.08,2.0,0.00403628779710488,0.004027178495263602,9.109301841277975e-06,0.0,0.0
0.5024000000000001,5.024,0.0,0.08,2.0,0.004040794104106771,0.004027178495263602,1.3615608843169156e-05,0.0,0.0
0.5032,5.032,0.0,0.08,2.0,0.00404526852018289,0.004027178495263602,1.8090024919288e-05,0.0,0.0
0.504,5.04,0.0,0.08,2.0,0.004049711296574607,0.004027178495263602,2.2532801311004767e-05,0.0,0.0
0.5048,5.048,0.0,0.08,2.0,0.004054122682523646,0.004027178495263602,2.694418726004405e-05,0.0,0.0
0.5056,5.056,0.0,0.08,2.0,0.004058502925288021,0.004027178495263602,3.132443002441912e-05,0.0,0.0
0.5064000000000001,5.064,0.0,0.08,2.0,0.0040628522701578376,0.004027178495263602,3.567377489423559e-05,0.0,0.0
0.5072,5.072,0.0,0.08,2.0,0.004067170960470972,0.004027178495263602,3.9992465207369676e-05,0.0,0.0
0.508,5.08,0.0,0.08,2.0,0.004071459237628626,0.004027178495263602,4.428074236502395e-05,0.0,0.0
0.5088,5.088,0.0,0.08,2.0,0.004075717341110756,0.004027178495263602,4.853884584715397e-05,0.0,0.0
0.5096,5.096,0.0,0.08,2.0,0.004079945508491379,0.004027178495263602,5.276701322777722e-05,0.0,0.0
0.5104000000000001,5.104,0.0,0.08,2.0,0.00408414397545376,0.004027178495263602,5.696548019015746e-05,0.0,0.0
0.5112,5.112,0.0,0.08,2.0,0.0040883129758054705,0.004027178495263602,6.11344805418683e-05,0.0,0.0
0.512,5.12,0.0,0.08,2.0,0.004092452741493341,0.004027178495263602,6.527424622973884e-05,0.0,0.0
0.5128,5.128,0.0,0.08,2.0,0.004096563502618278,0.004027178495263602,6.938500735467545e-05,0.0,0.0
0.5136000000000001,5.136,0.0,0.08,2.0,0.004100645487449973,0.004027178495263602,7.346699218637061e-05,0.0,0.0
0.5144000000000001,5.144,0.0,0.08,2.0,0.004104698922441493,0.004027178495263602,7.752042717789145e-05,0.0,0.0
0.5152,5.152,0.0,0.08,2.0,0.004108724032243755,0.004027178495263602,8.154553698015287e-05,0.0,0.0
0.516,5.16,0.0,0.08,2.0,0.00411272103971988,0.004027178495263602,8.554254445627767e-05,0.0,0.0
0.5168,5.168,0.0,0.08,2.0,0.004116690165959438,0.004027178495263602,8.951167069583656e-05,0.0,0.0
0.5176000000000001,5.176,0.0,0.08,2.0,0.0041206316302925825,0.004027178495263602,9.345313502898042e-05,0.0,0.0
0.5184000000000001,5.184,0.0,0.08,2.0,0.004124545650304059,0.004027178495263602,9.736715504045688e-05,0.0,0.0
0.5192,5.192,0.0,0.08,2.0,0.004128432441847118,0.004027178495263602,0.00010125394658351615,0.0,0.0
0.52,5.2,0.0,0.08,2.0,0.00413229221905731,0.004027178495263602,0.00010511372379370758,0.0,0.0
0.5208,5.208,0.0,0.08,2.0,0.004136125194366164,0.004027178495263602,0.0001089466991025616,0.0,0.0
0.5216000000000001,5.216,0.0,0.08,2.0,0.00413993157851477,0.004027178495263602,0.00011275308325116795,0.0,0.0
0.5224000000000001,5.224,0.0,0.08,2.0,0.004143711580567245,0.004027178495263602,0.00011653308530364256,0.0,0.0
0.5232,5.232,0.0,0.08,2.0,0.00414746540792409,0.004027178495263602,0.00012028691266048808,0.0,0.0
0.524,5.24,0.0,0.08,2.0,0.004151193266335452,0.004027178495263602,0.00012401477107184985,0.0,0.0
0.5248,5.248,0.0,0.08,2.0,0.004154895359914263,0.004027178495263602,0.0001277168646506607,0.0,0.0
0.5256000000000001,5.256,0.0,0.08,2.0,0.00415857189114929,0.004027178495263602,0.00013139339588568713,0.0,0.0
0.5264000000000001,5.264,0.0,0.08,2.0,0.0041622230609180706,0.004027178495263602,0.00013504456565446854,0.0,0.0
0.5272,5.272,0.0,0.08,2.0,0.0041658490684997555,0.004027178495263602,0.0001386705732361534,0.0,0.0
0.528,5.28,0.0,0.08,2.0,0.004169450111587837,0.004027178495263602,0.0001422716163242351,0.0,0.0
