candidate_index,run_id_kv,J_w_kv,m_Weibull_kv,lambda_Weibull_kv,decay_kv,failure_limit_kv,wet_scale_kv,reverse_scale_kv,J_eff_kv,kv_score,broken_kv,run_id_ms,J_w_ms,m_Weibull_ms,lambda_Weibull_ms,decay_ms,failure_limit_ms,wet_scale_ms,reverse_scale_ms,ms_score,broken_ms,error,run_id,mse_plain
1701,cand_01701,0.0084740223934448,1.3783971645895052,0.1144597950087584,15.527799777776693,0.4435912367277307,0.5327360608844599,0.7730901083333662,0.009503291980517,1.200790662028781e-07,0,cand_01701,0.0084740223934448,1.3783971645895052,0.1144597950087584,15.527799777776693,0.4435912367277307,0.5327360608844599,0.7730901083333662,0.0365219826152869,0,,cand_01701,7.429325903001456e-05
1875,cand_01875,0.00795405951174,1.1931059316532229,0.0967812947512727,11.259192055900726,0.5218548857256871,0.5597898608054157,0.9431664850605466,0.0095065301430463,4.724960466073888e-07,0,cand_01875,0.00795405951174,1.1931059316532229,0.0967812947512727,11.259192055900726,0.5218548857256871,0.5597898608054157,0.9431664850605466,0.0315974462665443,0,,cand_01875,6.422742273797137e-05
1874,cand_01874,0.0084680992727451,1.227297860448484,0.1239305041180301,36.39674807680725,0.4095522166848001,0.5860120051803319,0.9207908185316446,0.0095073816018629,6.037456627444223e-07,0,cand_01874,0.0084680992727451,1.227297860448484,0.1239305041180301,36.39674807680725,0.4095522166848001,0.5860120051803319,0.9207908185316446,0.0365876977891387,0,,cand_01874,7.428253939527259e-05
1184,cand_01184,0.0085776893277058,1.443925299862397,0.0959620899788197,21.50195727493646,0.4336290020793583,0.6327152552787615,0.9554895420569436,0.0095074043330922,6.074697899356579e-07,0,cand_01184,0.0085776893277058,1.443925299862397,0.0959620899788197,21.50195727493646,0.4336290020793583,0.6327152552787615,0.9554895420569436,0.0368540757254721,0,,cand_01184,7.483915884610667e-05
589,cand_00589,0.007707951776212,1.1759781660504602,0.0754278029601859,19.52167162694594,0.536571646864519,0.639340321693248,0.7496943038746167,0.0095088304067925,8.640009321043167e-07,0,cand_00589,0.007707951776212,1.1759781660504602,0.0754278029601859,19.52167162694594,0.536571646864519,0.639340321693248,0.7496943038746167,0.0296562636718499,0,,cand_00589,6.0337245725246617e-05
166,cand_00166,0.0067907251734753,1.2323674760543912,0.058075517010186,23.80582796272344,0.4418203708847014,0.5337340869531586,0.971324564946771,0.009488712748146,1.4116571126315554e-06,0,cand_00166,0.0067907251734753,1.2323674760543912,0.058075517010186,23.80582796272344,0.4418203708847014,0.5337340869531586,0.971324564946771,0.0160428905467571,0,,cand_00166,3.199019033481645e-05
1888,cand_01888,0.0080261669265685,1.233628564224801,0.1120427044894118,35.99428091175138,0.6684352563052425,0.4742523518325631,0.8289522413508941,0.0094886097418694,1.437539947714029e-06,0,cand_01888,0.0080261669265685,1.233628564224801,0.1120427044894118,35.99428091175138,0.6684352563052425,0.4742523518325631,0.8289522413508941,0.0325757967513728,0,,cand_01888,6.609640047433478e-05
1972,cand_01972,0.0084283504415336,1.3291799415146683,0.1004721749382656,25.23353541273968,0.4855465980457218,0.6224425974135657,0.8143446437134271,0.0094867490297031,1.945575776264172e-06,0,cand_01972,0.0084283504415336,1.3291799415146683,0.1004721749382656,25.23353541273968,0.4855465980457218,0.6224425974135657,0.8143446437134271,0.0363961738244015,0,,cand_01972,7.397118219569178e-05
1328,cand_01328,0.0078858868863432,1.136716851286653,0.095600227083237,31.87714331764159,0.2913948162977993,0.5873306907404137,0.9014730463615994,0.009482383668561,3.438616436182801e-06,0,cand_01328,0.0078858868863432,1.136716851286653,0.095600227083237,31.87714331764159,0.2913948162977993,0.5873306907404137,0.9014730463615994,0.0319565447944128,0,,cand_01328,6.48104927414898e-05
1697,cand_01697,0.0086525126580778,1.259791052732369,0.1240223159443251,38.28469513203935,0.3308686675094739,0.6591984742307726,0.9270390896448978,0.0095183178184992,3.717922155929034e-06,0,cand_01697,0.0086525126580778,1.259791052732369,0.1240223159443251,38.28469513203935,0.3308686675094739,0.6591984742307726,0.9270390896448978,0.0379777337066183,0,,cand_01697,7.714049351519939e-05
1650,cand_01650,0.0082506817888761,1.2668125628461804,0.1138787909578975,2.7250099288965632,0.6144829079735471,0.5554179450953434,0.9670055817742844,0.009519381751911,4.162352433711752e-06,0,cand_01650,0.0082506817888761,1.2668125628461804,0.1138787909578975,2.7250099288965632,0.6144829079735471,0.5554179450953434,0.9670055817742844,0.0354542628273321,0,,cand_01650,7.233774276183393e-05
1071,cand_01071,0.0072449656331825,1.4095151171903828,0.0545815342443382,28.855372671326684,0.3082214862325967,0.58684993098141,0.7016762529262682,0.0094804163359338,4.24952795849485e-06,0,cand_01071,0.0072449656331825,1.4095151171903828,0.0545815342443382,28.855372671326684,0.3082214862325967,0.58684993098141,0.7016762529262682,0.0220903684519879,0,,cand_01071,4.482834143922056e-05
1916,cand_01916,0.0078272108861786,1.1848846146108631,0.0839802040024963,32.8316657576619,0.7164920449306966,0.600851763050058,0.7295931269396263,0.0095198474975546,4.364799547720509e-06,0,cand_01916,0.0078272108861786,1.1848846146108631,0.0839802040024963,32.8316657576619,0.7164920449306966,0.600851763050058,0.7295931269396263,0.0310524915589964,0,,cand_01916,6.31367065598256e-05
1801,cand_01801,0.0086293977867844,1.4214729732037654,0.0982679943114224,31.1660831636462,0.4273331250472152,0.6580579802644947,0.7695924638208325,0.0095199312093611,4.4016964720171165e-06,0,cand_01801,0.0086293977867844,1.4214729732037654,0.0982679943114224,31.1660831636462,0.4273331250472152,0.6580579802644947,0.7695924638208325,0.0377989670509313,0,,cand_01801,7.682173524769013e-05
310,cand_00310,0.0070929322198235,1.3191287245384409,0.0584295963617691,29.95220907890885,0.7209233889766589,0.5519181762061904,0.8038135153745121,0.0095209462802678,4.861458803978057e-06,0,cand_00310,0.0070929322198235,1.3191287245384409,0.0584295963617691,29.95220907890885,0.7209233889766589,0.5519181762061904,0.8038135153745121,0.0189782965764626,0,,cand_00310,3.8392157423852926e-05
357,cand_00357,0.0077452423671033,1.4299745423912795,0.0610862303237653,22.897683664049644,0.5377176720719181,0.6318331216940691,0.8516092815469938,0.0094746851306287,7.100749155502441e-06,0,cand_00357,0.0077452423671033,1.4299745423912795,0.0610862303237653,22.897683664049644,0.5377176720719181,0.6318331216940691,0.8516092815469938,0.0280039328163444,0,,cand_00357,5.680951355875214e-05
1265,cand_01265,0.0084122199835735,1.2020787563761592,0.1140959438568449,29.00413135414968,0.2544004069854291,0.6452172416140693,0.9116594486570436,0.0094725610591318,8.342332143646848e-06,0,cand_01265,0.0084122199835735,1.2020787563761592,0.1140959438568449,29.00413135414968,0.2544004069854291,0.6452172416140693,0.9116594486570436,0.0365035120087684,0,,cand_01265,7.413961805978794e-05
1121,cand_01121,0.007801448416998,1.3014329230478958,0.096466129664543,20.442038258499807,0.33122778326956,0.4534481816929047,0.8319363915480876,0.0095302758775184,1.0156551351919294e-05,0,cand_01121,0.007801448416998,1.3014329230478958,0.096466129664543,20.442038258499807,0.33122778326956,0.4534481816929047,0.8319363915480876,0.0295700675689667,0,,cand_01121,5.998441473411504e-05
1094,cand_01094,0.008271992553175,1.295765202402448,0.0964607314456115,6.92191909505085,0.6202943239336618,0.6019465432409294,0.872934355955135,0.0095307350791895,1.0466981637558907e-05,0,cand_01094,0.008271992553175,1.295765202402448,0.0964607314456115,6.92191909505085,0.6202943239336618,0.6019465432409294,0.872934355955135,0.0340086478274526,0,,cand_01094,6.934377036130342e-05
1745,cand_01745,0.0075246235059733,1.2958601309487785,0.070484609102776,29.90920865633001,0.5916411200233584,0.5481002215360496,0.8499416489401052,0.0095311289632435,1.0736978976399716e-05,0,cand_01745,0.0075246235059733,1.2958601309487785,0.070484609102776,29.90920865633001,0.5916411200233584,0.5481002215360496,0.8499416489401052,0.0260062978200879,0,,cand_01745,5.2652714287004066e-05
436,cand_00436,0.0075090782215043,1.227582649733344,0.0725064901033958,38.68929137300715,0.4775800985211985,0.5629086833435681,0.7993001714863278,0.009532470250014,1.168218433214261e-05,0,cand_00436,0.0075090782215043,1.227582649733344,0.0725064901033958,38.68929137300715,0.4775800985211985,0.5629086833435681,0.7993001714863278,0.0270041934549778,0,,cand_00436,5.474321364532482e-05
1200,cand_01200,0.0079459242132971,1.402269148778899,0.0679354100171537,2.809365656162047,0.2478095041897348,0.659004850534741,0.601128872773747,0.0095328078055449,1.1926339109944436e-05,0,cand_01200,0.0079459242132971,1.402269148778899,0.0679354100171537,2.809365656162047,0.2478095041897348,0.659004850534741,0.601128872773747,0.0300047351976144,0,,cand_01200,6.166175097590373e-05
1954,cand_01954,0.00782918688974,1.176237040608714,0.086779739604119,35.42323083578597,0.3302524558368376,0.5825329693175965,0.759278293245885,0.0095328365229609,1.194722703784198e-05,0,cand_01954,0.00782918688974,1.176237040608714,0.086779739604119,35.42323083578597,0.3302524558368376,0.5825329693175965,0.759278293245885,0.0310635776049137,0,,cand_01954,6.310110657591867e-05
1873,cand_01873,0.0074098908330415,1.2443203684160156,0.0682922880560366,20.927258666022432,0.3949819713081574,0.5678220962124396,0.8518447031169081,0.0095334039771011,1.236371951436133e-05,0,cand_01873,0.0074098908330415,1.2443203684160156,0.0682922880560366,20.927258666022432,0.3949819713081574,0.5678220962124396,0.8518447031169081,0.0249854303344215,0,,cand_01873,5.064555887693443e-05
57,cand_00057,0.0066855312826983,1.3031145441147678,0.0480064043349504,14.292322927743694,0.2778587179938714,0.5936488506056318,0.9643158477276133,0.0095355427254761,1.399762143235804e-05,0,cand_00057,0.0066855312826983,1.3031145441147678,0.0480064043349504,14.292322927743694,0.2778587179938714,0.5936488506056318,0.9643158477276133,0.0108568451901238,0,,cand_00057,2.1573884028555435e-05
644,cand_00644,0.007153634921423,1.2729656774723974,0.0591497824634944,33.05093755748852,0.3696721088652026,0.5740559601349068,0.9680867709167266,0.0095362654535605,1.4572666171185036e-05,0,cand_00644,0.007153634921423,1.2729656774723974,0.0591497824634944,33.05093755748852,0.3696721088652026,0.5740559601349068,0.9680867709167266,0.0209406462361142,0,,cand_00644,4.200095709741611e-05
1758,cand_01758,0.0076022732092378,1.4072987271857662,0.0705192616382196,33.53449385052638,0.4214861800522782,0.5279340749056403,0.8076709961166271,0.0094594011204082,1.826336868814035e-05,0,cand_01758,0.0076022732092378,1.4072987271857662,0.0705192616382196,33.53449385052638,0.4214861800522782,0.5279340749056403,0.8076709961166271,0.0276720043774103,0,,cand_01758,5.6052277579674115e-05
779,cand_00779,0.0068112263415683,1.2207925431020152,0.0593445496056186,19.963748013550447,0.4526380409493551,0.5350461281125686,0.8198682634143281,0.0094586267301352,1.896673085101187e-05,0,cand_00779,0.0068112263415683,1.2207925431020152,0.0593445496056186,19.963748013550447,0.4526380409493551,0.5350461281125686,0.8198682634143281,0.0168634974362815,0,,cand_00779,3.4067175410929106e-05
297,cand_00297,0.0063469933914451,1.1868977804990464,0.0584401588037937,7.443429853202789,0.4749141900506878,0.4918370749629039,0.8381274057345449,0.0094572897322742,2.021237639010635e-05,0,cand_00297,0.0063469933914451,1.1868977804990464,0.0584401588037937,7.443429853202789,0.4749141900506878,0.4918370749629039,0.8381274057345449,0.0089488746977431,0,,cand_00297,1.8142280454265338e-05
1457,cand_01457,0.0080361017446858,1.2304558490165558,0.1087144162677049,8.31449802941038,0.5732714336333354,0.5141385859954222,0.9488311243940069,0.0094543297597909,2.3111034246521007e-05,0,cand_01457,0.0080361017446858,1.2304558490165558,0.1087144162677049,8.31449802941038,0.5732714336333354,0.5141385859954222,0.9488311243940069,0.0329677298503995,0,,cand_01457,6.705240821126506e-05
1839,cand_01839,0.007706845747545,1.178472244466107,0.0864531667331098,29.08443753635836,0.2780773060206729,0.5466060320178578,0.6096486968160102,0.009546586632468,2.404780415190673e-05,0,cand_01839,0.007706845747545,1.178472244466107,0.0864531667331098,29.08443753635836,0.2780773060206729,0.5466060320178578,0.6096486968160102,0.0306019235631906,0,,cand_01839,6.21621102883494e-05
754,cand_00754,0.0077782199368734,1.4820792478497582,0.0726077562619104,7.735570990490597,0.3944614315329978,0.5326304964424552,0.9764005684340976,0.0094483086887977,2.9606555720820118e-05,0,cand_00754,0.0077782199368734,1.4820792478497582,0.0726077562619104,7.735570990490597,0.3944614315329978,0.5326304964424552,0.9764005684340976,0.0285282183777396,0,,cand_00754,5.7924250434370476e-05
1215,cand_01215,0.0082822367195885,1.4407396307967315,0.0760031640642509,19.25833965003894,0.5670622910112209,0.6700306033801486,0.7458397101905514,0.0094479866225131,2.997663642762008e-05,0,cand_01215,0.0082822367195885,1.4407396307967315,0.0760031640642509,19.25833965003894,0.5670622910112209,0.6700306033801486,0.7458397101905514,0.0349278609963783,0,,cand_01215,7.103065790712907e-05
791,cand_00791,0.0070755024387274,1.2429190748001877,0.0675642028833185,18.47661788992749,0.2656231838054353,0.5128916631752983,0.9049335402033448,0.0094474401699457,3.060981424191389e-05,0,cand_00791,0.0070755024387274,1.2429190748001877,0.0675642028833185,18.47661788992749,0.2656231838054353,0.5128916631752983,0.9049335402033448,0.0214172625572151,0,,cand_00791,4.3118216384303104e-05
201,cand_00201,0.0067646844797099,1.2816281696067378,0.0514240528077683,26.195491203943227,0.6548076642437326,0.5702310268560984,0.952298431396916,0.0095525730390856,3.062520153681168e-05,0,cand_00201,0.0067646844797099,1.2816281696067378,0.0514240528077683,26.195491203943227,0.6548076642437326,0.5702310268560984,0.952298431396916,0.0131600476172377,0,,cand_00201,2.618095243702803e-05
