Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Load_fibers,Moisture,Broken,Total_model,Creep_model,Mech_model,Reduced,plastic,templ_global
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,40000.0,0.0,0,0.0,0.0,,0.0,0.0,
0.0,0.0,5.0,0.0,0.0,0.0,0.0,40000.0,0.0,40000.0,0.0,0,0.0,0.0,,0.0,0.0,
0.0040854404970758,0.0002115450434407,5.0,11448.0,0.0,0.003873895453635,0.0,39944.0,2.0,40000.0,0.0,0,0.00405812668894557,0.0,,0.00405812668894557,2.731380813022993e-05,
0.0040854404970758,0.0002115450434407,5.0,11448.0,0.0,0.003873895453635,0.0,39944.0,2.0,40000.0,0.0,0,0.00405812668894557,5.722419066378492e-16,,0.004058126688944998,2.731380813022993e-05,
0.0040880780097855,0.0002120657617175,5.008,11460.0,2.116794432979101e-06,0.003873895453635,0.0,39944.0,2.0,79999.99999999996,0.0,0,0.00406076420165527,4.55992488173818e-06,,0.004056204276773532,2.731380813022993e-05,
0.0040903230697387,0.000212203704492,5.016,11463.0,4.223911611581767e-06,0.003873895453635,0.0,39944.0,2.0,79999.99999999999,0.0,0,0.00406300926160847,9.085148946272239e-06,,0.004053924112662198,2.731380813022993e-05,
0.004092728444365,0.0002125115930499,5.024,11474.0,6.321397680036349e-06,0.003873895453635,0.0,39944.0,2.0,79999.99999999997,0.0,0,0.00406541463623477,1.3575947635747452e-05,,0.004051838688599023,2.731380813022993e-05,
0.0040949290241007,0.0002126242719038,5.032,11480.0,8.409298561780913e-06,0.003873895453635,0.0,39944.0,2.0,79999.99999999997,0.0,0,0.004067615215970471,1.803259419782356e-05,,0.004049582621772648,2.731380813022993e-05,
0.0040973030127883,0.0002129198991927,5.04,11485.0,1.0487659960520023e-05,0.003873895453635,0.0,39944.0,2.0,79999.99999999994,0.0,0,0.00406998920465807,2.2455359703727146e-05,,0.004047533844954343,2.731380813022993e-05,
0.0040995301674513,0.0002130781864549,5.048,11493.0,1.2556527361276514e-05,0.003873895453635,0.0,39944.0,2.0,79999.99999999999,0.0,0,0.00407221635932107,2.6844513065593526e-05,,0.004045371846255477,2.731380813022993e-05,
0.0041017672367495,0.000213255837083,5.056,11499.0,1.4615946031438134e-05,0.003873895453635,0.0,39944.0,2.0,79999.99999999999,0.0,0,0.004074453428619271,3.1200321053669625e-05,,0.0040432531075656015,2.731380813022993e-05,
0.0041038547535802,0.0002132933389233,5.064,11503.0,1.6665961021799304e-05,0.003873895453635,0.0,39944.0,2.0,80000.0,0.0,0,0.00407654094544997,3.552304831337991e-05,,0.00404101789713659,2.731380813022993e-05,
0.0041064564816597,0.0002138544108571,5.072,11518.0,1.870661716759774e-05,0.003873895453635,0.0,39944.0,2.0,80000.0,0.0,0,0.00407914267352947,3.9812957382256715e-05,,0.004039329716147213,2.731380813022993e-05,
0.0041085234601974,0.0002138900474728,5.08,11521.0,2.0737959089546268e-05,0.003873895453635,0.0,39944.0,2.0,80000.00000000001,0.0,0,0.004081209652067171,4.4070308706735606e-05,,0.004037139343360435,2.731380813022993e-05,
0.0041106077878142,0.0002139523029843,5.088,11528.0,2.276003119485955e-05,0.003873895453635,0.0,39944.0,2.0,80000.00000000001,0.0,0,0.00408329397968397,4.829536065881641e-05,,0.004034998619025154,2.731380813022993e-05,
0.0041131353562888,0.0002144670249755,5.096,11533.0,2.477287767827609e-05,0.003873895453635,0.0,39944.0,2.0,79999.99999999997,0.0,0,0.0040858215481585705,5.24883695525919e-05,,0.004033333178605979,2.731380813022993e-05,
0.004115482646883,0.0002148106507249,5.104,11539.0,2.6776542523075112e-05,0.003873895453635,0.0,39944.0,2.0,80000.00000000001,0.0,0,0.00408816883875277,5.664958966064505e-05,,0.004031519249092125,2.731380813022993e-05,
0.0041177464189981,0.0002150798958609,5.112,11545.0,2.877106950208873e-05,0.003873895453635,0.0,39944.0,2.0,80000.0,0.0,0,0.004090432610867871,6.077927323031504e-05,,0.004029653337637556,2.731380813022993e-05,
0.0041198801137189,0.0002152281579051,5.12,11552.0,3.075650217870923e-05,0.003873895453635,0.0,39944.0,2.0,80000.0,0.0,0,0.00409256630558867,6.487767049983376e-05,,0.004027688635088836,2.731380813022993e-05,
0.004122142377326,0.000215514039783,5.128,11560.0,3.273288390789158e-05,0.003873895453635,0.0,39944.0,2.0,79999.99999999999,0.0,0,0.00409482856919577,6.894502971433413e-05,,0.004025883539481436,2.731380813022993e-05,
0.0041242559452037,0.0002156602337314,5.136,11565.0,3.4700257837151006e-05,0.003873895453635,0.0,39944.0,2.0,80000.0,0.0,0,0.004096942137073471,7.298159714173071e-05,,0.00402396053993174,2.731380813022993e-05,
0.004126604456795,0.0002160503362523,5.144,11574.0,3.665866690755594e-05,0.003873895453635,0.0,39944.0,2.0,79999.99999999999,0.0,0,0.0040992906486647706,7.698761708847332e-05,,0.004022303031576298,2.731380813022993e-05,
0.0041286023953941,0.0002160987879043,5.152,11577.0,3.8608153854716165e-05,0.003873895453635,0.0,39944.0,2.0,80000.0,0.0,0,0.00410128858726387,8.096333191517585e-05,,0.004020325255348694,2.731380813022993e-05,
0.0041308290719508,0.0002163848571059,5.16,11583.0,4.054876120976617e-05,0.003873895453635,0.0,39944.0,2.0,79999.99999999999,0.0,0,0.004103515263820571,8.490898205212017e-05,,0.004018606281768451,2.731380813022993e-05,
0.0041336262148614,0.000217250229926,5.168,11594.0,4.2480531300343937e-05,0.003873895453635,0.0,39944.0,2.0,79999.99999999997,0.0,0,0.00410631240673117,8.88248060146364e-05,,0.004017487600716534,2.731380813022993e-05,
0.0041356085390103,0.0002173095791237,5.176,11598.0,4.440350625156479e-05,0.003873895453635,0.0,39944.0,2.0,79999.99999999999,0.0,0,0.00410829473088007,9.27110404183607e-05,,0.004015583690461709,2.731380813022993e-05,
0.0041377416432404,0.0002175284616183,5.184,11601.0,4.631772798699093e-05,0.003873895453635,0.0,39944.0,2.0,79999.99999999997,0.0,0,0.00411042783511017,9.656791999437155e-05,,0.004013859915115799,2.731380813022993e-05,
0.0041396504362834,0.0002175317444187,5.192,11603.0,4.822323822959612e-05,0.003873895453635,0.0,39944.0,2.0,79999.99999999999,0.0,0,0.00411233662815317,0.00010039567760420577,,0.0040119409505489645,2.731380813022993e-05,
0.0041415779063794,0.0002175623742416,5.2,11607.0,5.012007850272564e-05,0.003873895453635,0.0,39944.0,2.0,79999.99999999999,0.0,0,0.00411426409824917,0.00010419454425475403,,0.004010069553994416,2.731380813022993e-05,
0.0041437648863602,0.0002178611425941,5.208,11617.0,5.200829013105184e-05,0.003873895453635,0.0,39944.0,2.0,79999.99999999997,0.0,0,0.00411645107822997,0.00010796474911303844,,0.004008486329116932,2.731380813022993e-05,
0.0041458300394897,0.000218046671613,5.216,11627.0,5.388791424152531e-05,0.003873895453635,0.0,39944.0,2.0,80000.0,0.0,0,0.004118516231359471,0.00011170651952087222,,0.0040068097118385985,2.731380813022993e-05,
0.0041477795249338,0.0002181250795344,5.224,11633.0,5.575899176432079e-05,0.003873895453635,0.0,39944.0,2.0,80000.00000000003,0.0,0,0.004120465716803571,0.00011542008100940234,,0.004005045635794169,2.731380813022993e-05,
0.0041498644334831,0.0002183474164142,5.232,11640.0,5.7621563433779466e-05,0.003873895453635,0.0,39944.0,2.0,79999.99999999997,0.0,0,0.00412255062535287,0.00011910565731353628,,0.004003444968039334,2.731380813022993e-05,
