Diff,Tau,Ramp,LoadD,LoadD_tag,is_avg,ms_nr,ms_nr_ratio,Fo_diff,Fo_visc,Slip_unload,Slip_Ratio,Mech_unload,Total_unload,Mech_Ratio,SlipCount_unload,Plastic_unload,Mech_no_Plastic,Mech_max_unload,Mech_max_ratio,Slip_end,BrokenFibers_unload,BrokenFibers_end,Slip_per_strain_unload,Slip_per_strain_end,CSV_path
100.0,0.0001,0.0,0.35,0p35,False,,,0.10723716840243021,50.29470779312352,0.029809786,0.02674485263309944,0.028009456,1.114599,0.02512962599105149,2890.0,0.1651903868566184,-0.14006076086556693,0.03251355,0.029170625489525835,5149.0,39909.0,39863.0,2592.8607508171103,27965.299348732766,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p35/Tau_0.0001/all.csv
100.0,0.001,0.0,0.35,0p35,False,,,0.10723716840243021,5.029470779312351,0.029711021,0.02664362086112165,0.02661306,1.115127,0.02386549693442989,2880.0,0.16506061641409453,-0.14119511947966465,0.031154154,0.027937763142673436,5152.0,39909.0,39863.0,2582.665472183886,27990.33268672695,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p35/Tau_0.001/all.csv
100.0,0.01,0.0,0.35,0p35,False,,,0.10723716840243021,0.5029470779312348,0.029307818,0.026120526103531792,0.01083457,1.1220225,0.009656285858795167,2769.0,0.16376042369916824,-0.15410413784037308,0.022910682,0.020419093200002677,5122.0,39918.0,39864.0,2467.8649492323016,27875.91007608023,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p35/Tau_0.01/all.csv
100.0,0.1,0.0,0.35,0p35,False,,,0.10723716840243021,0.05029470779312349,0.028765947,0.025515988325034517,0.00015393815,1.1273695,0.00013654631422971796,2797.0,0.1625228818058321,-0.1623863354916024,0.012887549,0.011431521785891848,5099.0,39914.0,39861.0,2480.996691856574,27829.42391509728,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p35/Tau_0.1/all.csv
100.0,0.0001,0.0,0.4,0p4,False,0.0043406924,0.0034482210653017493,0.10723716840243021,50.29470779312352,0.041674726,0.0331061625292496,0.038664516,1.2588208,0.030714869026631907,3555.0,0.14903270584661454,-0.11831783681998263,0.042393036,0.03367678385994258,6484.0,39894.0,39866.0,2824.071543781291,34561.89203864898,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p4/Tau_0.0001/all.csv
100.0,0.001,0.0,0.4,0p4,False,0.004491105,0.0035654746277278197,0.10723716840243021,5.029470779312351,0.041646287,0.03306286084105603,0.036476657,1.2596093,0.028958707275343238,3558.0,0.14903806283424553,-0.1200793555589023,0.04130078,0.03278856388246737,6476.0,39894.0,39866.0,2824.685400465049,34496.40075655571,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p4/Tau_0.001/all.csv
100.0,0.01,0.0,0.4,0p4,False,0.004179807,0.0032985051399869727,0.10723716840243021,0.5029470779312348,0.041167997,0.032487827717276964,0.016494669,1.2671822,0.013016809263892754,3421.0,0.14785663813775163,-0.13483982887385887,0.025758984,0.02032776659899421,6390.0,39905.0,39869.0,2699.690699569486,34105.228774565505,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p4/Tau_0.01/all.csv
100.0,0.1,0.0,0.4,0p4,False,0.003715169,0.00291922529249464,0.10723716840243021,0.05029470779312349,0.03984886,0.031311576940127886,0.006372212,1.2726558,0.005007019179891374,3436.0,0.14667404965270264,-0.14166703047281126,0.0120341955,0.009455970341705904,6421.0,39901.0,39840.0,2699.865902469466,34398.41453362747,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p4/Tau_0.1/all.csv
100.0,0.0001,0.0,0.45,0p45,False,,,0.10723716840243021,50.29470779312352,0.064074725,0.045510009048771026,0.05500527,1.407926,0.03906829620306749,4349.0,0.13653954114065653,-0.09747124493758905,0.05979488,0.04247018664333211,8077.0,39882.0,39835.0,3088.940753988491,42015.72044423991,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p45/Tau_0.0001/all.csv
100.0,0.001,0.0,0.45,0p45,False,,,0.10723716840243021,5.029470779312351,0.06391012,0.04537115036344417,0.053165894,1.408607,0.037743596333114915,4323.0,0.13659943476072461,-0.0988558384276097,0.058054104,0.04121384034013746,8069.0,39885.0,39834.0,3068.9894342424823,41935.41748217862,../Analysis_folders/Structured_Data_Redo/Diff_100/Ramp_00%/LoadD_0p45/Tau_0.001/all.csv
