Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0
0.0,0.0,5.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0
1.2937594089120386,0.04345356602965309,5.0,2879.0,0.0,1.250828243562689,0.0,39974.0,1.1290459917974973,0.0,0
1.2937594089120386,0.04345356602965309,5.0,2879.0,0.0,1.250828243562689,0.0,39974.0,1.1290459917974973,0.0,0
1.3561545566196296,0.05015103042565947,6.0,3170.0,0.055698982481767634,1.250859535390762,0.0,39973.0,1.1290459917974973,0.0,0
1.376220570277497,0.05205504653399025,7.0,3254.0,0.07386098003130427,1.2508595353907617,0.0,39973.0,1.1290459917974973,0.0,0
1.3893980913368018,0.05376805866162229,8.0,3322.0,0.08532548896297687,1.2508595353907617,0.0,39973.0,1.1290459917974973,0.0,0
1.3990383105696675,0.05477707375759443,9.0,3369.0,0.09395669309987054,1.2508595353907617,0.0,39973.0,1.1290459917974973,0.0,0
1.407498435940972,0.055983753702280946,10.0,3413.0,0.1012101385264885,1.250859535390762,0.0,39973.0,1.1290459917974973,0.0,0
1.4145008652573348,0.056543950591903626,11.0,3437.0,0.10765237095322866,1.2508595353907617,0.0,39973.0,1.1290459917974973,0.0,0
1.4210996769602153,0.05727519140612849,12.0,3468.0,0.11351994184188434,1.2508595353907617,0.0,39973.0,1.1290459917974973,0.0,0
1.427277064953106,0.05804718540993744,13.0,3498.0,0.11892533583096605,1.2508595353907614,0.0,39973.0,1.1290459917974973,0.0,0
1.433160115164706,0.05892259037051609,14.0,3531.0,0.1239329810819872,1.2508595353907614,0.0,39973.0,1.1290459917974973,0.0,0
1.438564155596701,0.05967217024024997,15.0,3558.0,0.12858744164424848,1.2508595353907617,0.0,39973.0,1.1290459917974973,0.0,0
1.4434306554263425,0.06020211500686961,16.0,3580.0,0.13292399670727045,1.250859535390761,0.0,39973.0,1.1290459917974973,0.0,0
1.4479940983826232,0.060718391494620695,17.0,3601.0,0.1369760417450634,1.2508908287845224,0.0,39972.0,1.1290459917974973,0.0,0
1.4524519906905695,0.06138870925836455,18.0,3627.0,0.14076361628926595,1.2508908287845224,0.0,39972.0,1.1290459917974973,0.0,0
1.4562583202250454,0.06164501999367742,19.0,3640.0,0.14431363508842923,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.460243039311382,0.062295813899421626,20.0,3664.0,0.14764756026902165,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.4637367602891764,0.0626523281887044,21.0,3678.0,0.150784766957533,1.2508908287845224,0.0,39972.0,1.1290459917974973,0.0,0
1.46700661878046,0.06296416946572181,22.0,3692.0,0.15374278417179932,1.2508908287845226,0.0,39972.0,1.1290459917974973,0.0,0
1.4702268642591096,0.06338971964595254,23.0,3710.0,0.15653747947021823,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.4731778371789592,0.06369495175101313,24.0,3725.0,0.15918322028500717,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.4760375935554835,0.06404491062213183,25.0,3739.0,0.1616930177904127,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.4788132529341498,0.06443493148744345,26.0,3755.0,0.1640786563037674,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.4814170778682323,0.06476660263773816,27.0,3769.0,0.16635081008755526,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.484048966837042,0.06523015276188075,28.0,3788.0,0.16851914893222233,1.250890828784522,0.0,39972.0,1.1290459917974973,0.0,0
1.4862312932701003,0.06533919447327968,29.0,3794.0,0.17059243365388171,1.250890828784522,0.0,39972.0,1.1290459917974973,0.0,0
1.4884536399680925,0.06557537233405805,30.0,3805.0,0.1725786024910955,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.490498020561516,0.0657135061427873,31.0,3811.0,0.1744848492757897,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.4924833445614216,0.06586598525408374,32.0,3817.0,0.17631769416439888,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.4946262042380924,0.0662434914567204,33.0,3832.0,0.1780830476384329,1.2508908287845226,0.0,39972.0,1.1290459917974973,0.0,0
1.4966090541281005,0.06652312056975583,34.0,3842.0,0.17978626841540568,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.4984495669226245,0.0667176859299046,35.0,3853.0,0.1814322158497812,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.5003089727271455,0.06698401023587001,36.0,3864.0,0.18302529734833636,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.5020213513567562,0.06715217493942897,37.0,3869.0,0.18456951127438842,1.250890828784522,0.0,39972.0,1.1290459917974973,0.0,0
1.5038325103064611,0.06746435939334307,38.0,3878.0,0.18606848577017931,1.250890828784522,0.0,39972.0,1.1290459917974973,0.0,0
1.5054742121331262,0.0676490331043399,39.0,3886.0,0.18752551388584743,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.507085634183036,0.06784238367364616,40.0,3892.0,0.18894358536645095,1.2508908287845224,0.0,39972.0,1.1290459917974973,0.0,0
1.5086510725104794,0.06802599195247606,41.0,3900.0,0.19032541541506443,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.5102274688900883,0.06825433302744859,42.0,3909.0,0.19167347071970067,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.5117194749806182,0.0684298168332486,43.0,3915.0,0.1929899930044308,1.2508908287845222,0.0,39972.0,1.1290459917974973,0.0,0
1.513177544482983,0.06860085899974784,44.0,3921.0,0.19427702034029612,1.2508908287845226,0.0,39972.0,1.1290459917974973,0.0,0
1.5146509127621062,0.06881670890178061,45.0,3930.0,0.1955411453992337,1.2509221237440875,0.0,39971.0,1.1290459917974973,0.0,0
1.51611837298991,0.06905065565723073,46.0,3940.0,0.1967746588715873,1.2509221237440868,0.0,39971.0,1.1290459917974973,0.0,0
1.5175491337270692,0.06927235865768212,47.0,3949.0,0.19798371660829525,1.250922123744087,0.0,39971.0,1.1290459917974973,0.0,0
1.5188292613222303,0.06936645538279153,48.0,3952.0,0.19916974747834665,1.2509221237440875,0.0,39971.0,1.1290459917974973,0.0,0
1.5200736178952765,0.06944652930873395,49.0,3955.0,0.2003340301254507,1.2509221237440864,0.0,39971.0,1.1290459917974973,0.0,0
1.5212999174090418,0.06952913028930639,50.0,3959.0,0.2014777286586435,1.2509221237440875,0.0,39971.0,1.1290459917974973,0.0,0
