Total_strain,Slip_strain,Time,Slip Count,Creep,Elastic,Hygroexp,Number_of_fibers,Load,Moisture,Broken
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0
0.0,0.0,5.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0
1.264710754069535,0.038625027440232156,5.0,2621.0,0.0,1.2265879800105044,0.0,39975.0,1.1290459917974973,0.0,0
1.264710754069535,0.038625027440232156,5.0,2621.0,0.0,1.2265879800105044,0.0,39975.0,1.1290459917974973,0.0,0
1.3231247441610658,0.04427484638117318,6.0,2869.0,0.05276617142149942,1.2266186646550237,0.0,39974.0,1.1290459917974973,0.0,0
1.3423950438858223,0.04634048582055367,7.0,2966.0,0.069973518709302,1.2266493508348109,0.0,39973.0,1.1290459917974973,0.0,0
1.3546782928807406,0.04776259353413611,8.0,3021.0,0.08083465999063763,1.2266493508348117,0.0,39973.0,1.1290459917974973,0.0,0
1.363641838108729,0.04854920352463919,9.0,3055.0,0.08901159522812296,1.2266493508348109,0.0,39973.0,1.1290459917974973,0.0,0
1.3710920105643698,0.04912768871361304,10.0,3083.0,0.09588328249478974,1.2266493508348115,0.0,39973.0,1.1290459917974973,0.0,0
1.3779310379975054,0.049863547543524935,11.0,3113.0,0.10198645109801355,1.226649350834811,0.0,39973.0,1.1290459917974973,0.0,0
1.3844373792266538,0.050811136786429956,12.0,3148.0,0.10754520308425687,1.226649350834811,0.0,39973.0,1.1290459917974973,0.0,0
1.3904652011243568,0.051718058674823424,13.0,3184.0,0.11266610309356645,1.2266493508348115,0.0,39973.0,1.1290459917974973,0.0,0
1.3957468994558744,0.05225567167588375,14.0,3208.0,0.11741018842402388,1.2266493508348106,0.0,39973.0,1.1290459917974973,0.0,0
1.400548786813452,0.052648069772964184,15.0,3227.0,0.12181967768452094,1.2266493508348113,0.0,39973.0,1.1290459917974973,0.0,0
1.4050125808536111,0.053003548217631,16.0,3240.0,0.12592799328001322,1.2266493508348115,0.0,39973.0,1.1290459917974973,0.0,0
1.4091490336668142,0.05330436765080602,17.0,3254.0,0.12976362666004143,1.2266493508348106,0.0,39973.0,1.1290459917974973,0.0,0
1.4132150621738127,0.05378230132692863,18.0,3274.0,0.1333517214909171,1.226649350834811,0.0,39973.0,1.1290459917974973,0.0,0
1.4171362046558467,0.05434036334294309,19.0,3296.0,0.1367148019569367,1.2266493508348109,0.0,39973.0,1.1290459917974973,0.0,0
1.420681086126416,0.054726874080334754,20.0,3311.0,0.1398731726901144,1.2266493508348109,0.0,39973.0,1.1290459917974973,0.0,0
1.424054333497377,0.05512810880359793,21.0,3325.0,0.14284518533781224,1.226649350834811,0.0,39973.0,1.1290459917974973,0.0,0
1.4272700013646058,0.05554151730509825,22.0,3343.0,0.14564744470354085,1.2266493508348115,0.0,39973.0,1.1290459917974973,0.0,0
1.4303284144516215,0.05595239272176385,23.0,3361.0,0.1482949823738908,1.226649350834811,0.0,39973.0,1.1290459917974973,0.0,0
1.4330100166929336,0.056127568258110244,24.0,3370.0,0.1508014090788565,1.2266493508348115,0.0,39973.0,1.1290459917974973,0.0,0
1.435789876011719,0.05652978584704554,25.0,3384.0,0.1531790508087067,1.2266493508348109,0.0,39973.0,1.1290459917974973,0.0,0
1.4383886410663957,0.056868530373857924,26.0,3398.0,0.155439071336571,1.2266493508348106,0.0,39973.0,1.1290459917974973,0.0,0
1.4408918236281034,0.057219201425815325,27.0,3410.0,0.15759158284632113,1.2266493508348115,0.0,39973.0,1.1290459917974973,0.0,0
1.4431685710547435,0.057441785751780265,28.0,3418.0,0.15964574594699651,1.226649350834811,0.0,39973.0,1.1290459917974973,0.0,0
1.4453384336405584,0.05764753414588771,29.0,3430.0,0.1616098601387038,1.2266493508348113,0.0,39973.0,1.1290459917974973,0.0,0
1.4472923782149816,0.057719893200164185,30.0,3432.0,0.1634914456588504,1.2266493508348109,0.0,39973.0,1.1290459917974973,0.0,0
1.4493974583342977,0.058019101441923696,31.0,3442.0,0.16529731753640722,1.226649350834811,0.0,39973.0,1.1290459917974973,0.0,0
1.4513360926609584,0.058221400706562516,32.0,3452.0,0.167033652598429,1.226649350834811,0.0,39973.0,1.1290459917974973,0.0,0
1.4531252737538447,0.05833818429737027,33.0,3458.0,0.16870605010050763,1.2266493508348113,0.0,39973.0,1.1290459917974973,0.0,0
1.4549776168738737,0.058576990929622756,34.0,3466.0,0.17031958658828428,1.226649350834811,0.0,39973.0,1.1290459917974973,0.0,0
1.4567838981892398,0.058823993294141855,35.0,3474.0,0.17187886553913104,1.2266493508348113,0.0,39973.0,1.1290459917974973,0.0,0
1.4584500058145473,0.05898090417780414,36.0,3481.0,0.1733880622807763,1.226649350834811,0.0,39973.0,1.1290459917974973,0.0,0
1.4602395263197934,0.0593075223274868,37.0,3492.0,0.17485096463633978,1.226649350834811,0.0,39973.0,1.1290459917974973,0.0,0
1.4618654212116768,0.05951337215324997,38.0,3502.0,0.17627100970246007,1.2266493508348109,0.0,39973.0,1.1290459917974973,0.0,0
1.4634636727332802,0.05973131624882078,39.0,3509.0,0.17765131712849272,1.2266493508348109,0.0,39973.0,1.1290459917974973,0.0,0
1.464980349757041,0.05990459117133792,40.0,3516.0,0.1789947192297363,1.226649350834811,0.0,39973.0,1.1290459917974973,0.0,0
1.4666177234873712,0.060232895895443284,41.0,3526.0,0.18030378823596094,1.2266493508348113,0.0,39973.0,1.1290459917974973,0.0,0
1.4681087904146046,0.060446890110797846,42.0,3534.0,0.18158086094783993,1.2266493508348113,0.0,39973.0,1.1290459917974973,0.0,0
1.4694820722292457,0.06057297182533158,43.0,3539.0,0.18282806104794724,1.2266493508348117,0.0,39973.0,1.1290459917974973,0.0,0
1.4708177567533716,0.060689398107895934,44.0,3543.0,0.1840473192895089,1.226649350834811,0.0,39973.0,1.1290459917974973,0.0,0
1.47231688777042,0.06099545664959631,45.0,3554.0,0.1852403917648567,1.226649350834811,0.0,39973.0,1.1290459917974973,0.0,0
1.4736712111444392,0.06118129535215599,46.0,3561.0,0.18640887643631648,1.2266493508348109,0.0,39973.0,1.1290459917974973,0.0,0
1.4749644539586821,0.061329186507842796,47.0,3568.0,0.1875542280948725,1.226649350834811,0.0,39973.0,1.1290459917974973,0.0,0
1.4762580751482686,0.061499263896084976,48.0,3574.0,0.18867777189621687,1.2266493508348113,0.0,39973.0,1.1290459917974973,0.0,0
1.477508720732555,0.06164696576703449,49.0,3580.0,0.18978071560955365,1.2266493508348113,0.0,39973.0,1.1290459917974973,0.0,0
1.4786950080078163,0.06174980795020262,50.0,3584.0,0.19086416070164688,1.2266493508348109,0.0,39973.0,1.1290459917974973,0.0,0
